2026-06-02 15:07:46.521 [MessageBroker-1] INFO  o.s.w.s.c.WebSocketMessageBrokerStats - WebSocketSession[2 current WS(2)-HttpStream(0)-HttpPoll(0), 2 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(2)-CONNECTED(2)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 30, active threads = 0, queued tasks = 0, completed tasks = 30], outboundChannel[pool size = 3, active threads = 0, queued tasks = 0, completed tasks = 3], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
2026-06-02 15:26:37.216 [clientOutboundChannel-29] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2055949678117130242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 15:26:37.310 [clientOutboundChannel-32] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2058093987570442242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 15:26:39.119 [clientOutboundChannel-36] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2058093987570442242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 15:26:39.119 [clientOutboundChannel-37] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2055949678117130242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 15:26:47.231 [clientOutboundChannel-46] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2058093987570442242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 15:26:47.412 [clientOutboundChannel-53] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2055949678117130242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 15:28:32.894 [clientOutboundChannel-67] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2058093987570442242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 15:28:32.903 [clientOutboundChannel-76] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2055949678117130242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 15:28:33.982 [clientOutboundChannel-85] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2055949678117130242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 15:28:34.105 [clientOutboundChannel-96] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2058093987570442242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 15:37:46.532 [MessageBroker-1] INFO  o.s.w.s.c.WebSocketMessageBrokerStats - WebSocketSession[7 current WS(7)-HttpStream(0)-HttpPoll(0), 21 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(21)-CONNECTED(21)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 501], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 125], sockJsScheduler[pool size = 2, active threads = 1, queued tasks = 0, completed tasks = 1]
2026-06-02 15:54:00.814 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-06-02 15:54:01.150 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-06-02 15:54:01.167 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopping...
